id	percentage
16001	80.50
19001	44.00
21001	43.70
29001	58.80
8001	61.00
19003	43.20
16003	69.60
17001	47.20
18001	51.00
28001	12.60
31001	61.60
12001	48.80
6001	45.80
8003	63.00
36001	52.50
26001	47.90
28003	26.40
17003	33.80
26003	60.00
19005	49.30
26005	60.30
24001	44.70
36003	59.50
18003	52.20
21003	47.40
26007	54.10
6003	53.50
6005	46.50
28005	9.30
21005	52.40
29003	58.40
24003	38.40
31003	46.00
26009	62.10
4001	28.80
19007	45.30
13001	21.90
8005	53.00
8007	64.20
26011	51.40
5001	15.20
31005	75.00
5003	33.80
29005	54.60
13003	19.40
34001	38.20
28007	11.30
29007	48.20
19009	37.50
1001	18.20
8009	29.80
13005	32.80
12003	47.40
13007	13.50
1003	32.90
13009	19.90
21007	52.00
24510	31.20
24005	37.00
13011	48.10
31007	42.90
16005	79.70
26013	55.50
1005	7.80
25001	51.60
21009	49.90
13013	37.20
26015	62.80
29009	47.00
18005	53.40
29011	50.20
13015	39.70
29013	53.10
21011	46.60
5005	36.20
12005	41.70
26017	49.30
16007	67.60
30001	55.00
33001	63.19
21013	45.60
13017	18.40
16009	69.00
8011	44.40
5007	44.90
19011	44.00
18007	55.30
29015	45.20
28009	14.20
26019	64.80
34003	38.20
35001	50.90
13019	30.00
26021	47.10
1007	19.70
13021	16.80
30003	51.50
16011	76.40
19013	52.90
18009	51.00
16013	68.30
30005	54.40
31009	55.60
13023	20.60
1009	38.60
16015	67.90
28011	13.90
29017	45.10
17005	53.40
16017	79.30
16019	79.10
5009	38.50
19015	55.00
17007	58.30
18011	55.20
21015	44.10
29019	60.60
31011	38.60
8013	63.60
16021	84.00
21017	45.60
31013	62.50
21019	46.10
31015	43.50
21021	43.90
21023	54.90
12007	41.80
5011	14.90
26023	53.60
13025	44.10
21025	51.80
21027	45.80
19017	45.30
12009	37.70
30007	52.00
36005	30.00
13027	21.50
36007	56.60
8014	63.20
12011	26.40
17009	48.00
18013	61.20
31017	53.80
13029	35.50
19019	47.50
29021	53.70
19021	48.60
31019	69.20
21029	49.10
13031	38.80
1011	6.60
17011	54.20
13033	9.90
34005	38.00
31021	43.80
1013	6.50
19023	58.30
21031	42.10
29023	45.40
31023	52.80
6007	58.90
16023	76.90
13035	16.90
6009	46.70
21033	52.10
29025	55.60
1015	21.80
5013	34.00
12013	45.20
13037	10.90
19025	50.00
17013	50.70
26025	51.50
28013	13.60
29027	54.20
21035	55.00
24009	36.10
16025	57.90
13039	32.60
29029	49.90
34007	37.60
21037	47.50
13043	19.90
16027	81.80
29031	52.40
34009	45.00
30009	50.80
16029	70.00
21039	57.50
24011	41.20
5015	0.00
13045	37.60
19027	37.00
17015	50.00
18015	56.10
21041	49.40
24013	47.50
29033	50.70
28015	8.90
33003	63.65
32510	51.20
21043	51.40
29035	50.00
30011	55.30
30013	40.20
21045	44.00
19029	38.00
17017	50.20
18017	59.30
26027	49.10
29037	52.10
31025	53.40
16031	61.30
13047	48.10
35003	61.40
36009	57.90
36011	52.70
24015	45.20
19031	55.70
29039	51.10
31027	53.50
19033	50.40
8015	65.20
1017	9.50
17019	65.90
29041	44.50
24017	28.20
26029	60.90
12015	35.40
13049	22.50
31029	38.50
13051	27.20
13053	17.90
13055	34.00
36013	54.00
35005	43.40
26031	55.60
36015	50.40
36017	60.90
1019	24.90
13057	47.60
19035	54.60
31031	35.50
33005	70.71
8017	40.00
31033	61.10
19037	38.90
28017	15.60
5017	14.60
1021	24.60
26033	58.00
1023	12.40
28019	15.10
30015	37.70
17021	51.20
21047	39.90
29043	58.40
32001	50.00
35006	48.50
12017	39.20
28021	9.00
26035	52.00
5019	22.50
16033	100.00
17023	53.00
18019	46.10
21049	47.50
29045	45.30
32003	45.10
1025	6.30
13059	49.00
19039	42.00
28023	12.50
1027	13.70
5021	35.50
12019	39.50
13061	12.70
19041	50.60
17025	52.10
18021	53.00
21051	41.60
29047	53.70
28025	12.70
31035	74.50
13063	18.00
19043	51.00
8019	55.30
16035	58.20
1029	23.80
5023	28.60
5025	24.70
13065	18.10
19045	51.40
17027	57.50
18023	59.10
21053	35.60
26037	55.80
29049	51.40
36019	73.50
28027	15.80
13067	36.20
4003	39.70
4005	53.40
1031	20.10
13069	21.70
1033	22.50
29051	53.50
17029	59.00
31037	40.00
35007	43.80
12021	31.90
13071	22.20
5027	22.40
12023	38.60
13073	32.50
36021	57.10
6011	45.80
1035	19.10
8021	40.00
6013	39.90
5029	29.70
13075	22.50
29053	48.60
33007	64.37
1037	10.80
28029	10.70
36023	57.30
8023	20.40
1039	19.70
28031	10.70
13077	32.70
5031	33.60
5033	34.50
13079	19.30
19047	41.70
17033	47.90
18025	47.40
26039	54.10
29055	56.20
1041	10.30
13081	18.90
5035	16.30
21055	51.00
5037	21.70
8025	50.00
1043	34.50
17035	56.30
21057	50.00
23005	55.60
34011	35.80
31039	43.30
35009	53.30
8027	57.00
16037	72.10
30017	41.00
31041	64.90
13083	48.00
29057	51.00
31043	56.60
1045	20.70
1047	15.40
5039	29.60
19049	41.70
29059	55.70
30019	34.60
18027	56.50
21059	46.60
29061	47.10
19051	42.00
31045	68.60
13085	45.50
30021	47.00
31047	68.80
1049	32.30
13089	28.30
17037	66.50
18033	52.70
29063	57.80
12027	38.70
28033	26.30
18029	47.30
13087	20.00
19053	47.20
18031	53.70
30023	40.80
6015	55.40
19055	43.00
18035	55.70
36025	60.90
8029	69.60
26041	52.40
29065	55.60
8031	54.40
19057	53.30
5041	23.00
31049	60.00
19059	51.20
26043	51.50
12029	45.10
31051	54.10
13091	19.40
31053	47.40
8033	62.90
13093	10.90
24019	31.80
13095	13.80
8035	49.70
13097	25.00
17041	56.20
29067	58.10
31055	54.00
32005	45.90
5043	25.70
17043	52.30
18037	49.90
19061	47.40
31057	6.70
29069	37.70
36027	51.50
12031	30.60
8037	63.70
13099	10.10
26045	55.60
13101	51.40
35015	46.10
